1958-1961 (SIM),1958-1961 (CEN),1961-1964 (SIM),1961-1964 (CEN),1964-1967 (SIM),1964-1967 (CEN),1967-1970 (SIM),1967-1970 (CEN),1970-1973 (SIM),1970-1973 (CEN),1973-1976 (SIM),1973-1976 (CEN),1976-1979 (SIM),1976-1979 (CEN),1979-1982 (SIM),1979-1982 (CEN)
bureaucratic,dictatorship,bureaucratic,dictatorship,bureaucratic,socialism,bureaucratic,muddle,bureaucratic,monster,bureaucratic,shamble,bureaucratic,fragmentation,bureaucratic,bunch
disrepute,Communism,dictatorship,Communism,paradox,imperialism,patronage,stupidity,bureaucrat,bureaucracy,bureaucrat,friction,quango,friction,paperwork,function
patriotism,violence,dictator,fascist,smokescreen,philosophy,centralisation,gimmick,paraphernalia,tyranny,inefficiency,politician,bureaucrat,bureaucracy,bureaucrat,friction
corruption,conspiracy,farce,hypocrisy,straitjacket,dictatorship,inefficiency,ineptitude,centralisation,confusion,monster,nightmare,paperwork,complication,quango,bureaucratic
conspiracy,editor,proliferation,communist,empire,bureaucracy,Whitehall,smokescreen,patronage,friction,layer,catastrophe,duplication,bureaucratic,duplication,cumbersome
stupidity,soul,monolithic,cynicism,fiction,myth,monster,stupid,straitjacket,oppression,nightmare,irresponsibility,apparatus,myth,layer,confusion
patronage,colonialism,irresponsibility,dictator,Whitehall,Communism,inefficient,cumbersome,rigidity,creature,extravagance,administrator,inefficiency,politician,administration,monster
organ,brutality,centralisation,feudal,tangle,tyranny,muddle,planning,monster,shamble,centralised,ugly,layer,puppet,centralisation,unnecessary
dictatorship,terrorism,lobby,contempt,dictator,dictator,whitehall,unfair,duplication,Communism,centralisation,extravagant,centralisation,surveillance,administrative,bureaucracy
instinct,crime,centralised,integration,tyranny,novelty,bureaucrat,dictator,tyranny,complication,duplication,chaos,patronage,machinery,efficiency,simplify
cynicism,cynicism,hypocrisy,rationalisation,manipulation,fascist,rigidity,diversification,impersonal,capitalism,impersonal,fragmentation,administration,incompetence,inefficiency,structure
politician,revolt,circle,capitalism,shackle,obscurity,centralised,incompetence,mythology,tangle,patronage,mismanagement,extravagance,duplication,accountability,fragmentation
hypocrisy,domination,myth,democracy,farce,muddle,farce,rationalisation,censorship,art,paraphernalia,incompetence,tier,bureaucrat,patronage,agency
socialism,tyranny,bribery,tyranny,racket,dogma,paraphernalia,blunder,Whitehall,sloppy,monolithic,monolithic,monster,unnecessary,centralised,monstrosity
image,myth,politician,reorganise,inefficiency,oppression,decentralisation,regionalism,fragmentation,verbiage,complication,clumsy,spender,monstrosity,spender,department
